i,U,K,Px,Py,Pz,Ne
254,-187133296.85545686,116807231.20231135,1022.6976411817809,1788.3751086871803,471.3241653484849,18.0
255,-189214905.53583428,118931786.9131996,1022.69764117999,1788.3751086871337,471.32416534845413,18.0
256,-191424442.63914517,121165693.09607884,1022.6976411719646,1788.3751086871532,471.32416534840405,18.0
257,-193773183.12348282,123561272.06067048,1022.6976411702399,1788.3751086871089,471.32416534845754,18.0
258,-196268901.07925662,126169208.53103837,1022.6976411368155,1788.3751086872378,471.324165348399,18.0
259,-198921375.38290223,128850508.74260378,1022.6976411756496,1788.375108687167,471.32416534844987,18.0
260,-201743779.60288978,131692952.74404293,1022.6976412169967,1788.3751086872353,471.32416534811887,18.0
261,-204739561.6707241,134716042.5912951,1022.6976412012012,1788.3751086871432,471.32416534829093,18.0
262,-207918938.96982908,137913443.60841236,1022.6976411703322,1788.3751086872205,471.3241653484275,18.0
263,-211286230.8955483,141296745.70239043,1022.6976411746241,1788.3751086871537,471.32416534833953,18.0
264,-214842021.66067407,144879684.00411242,1022.6976411979679,1788.3751086871375,471.32416534817884,18.0
265,-218578511.6239669,148691121.38861805,1022.69764112424,1788.3751086871853,471.324165348193,18.0
266,-222485073.26644304,152640850.1815126,1022.6976411832474,1788.3751086871723,471.32416534862006,18.0
267,-226536537.04707533,156732620.34756765,1022.6976412360352,1788.3751086871923,471.3241653481353,18.0
268,-230699949.04702878,160986809.34812495,1022.6976412032931,1788.375108687336,471.32416534821823,18.0
269,-234927228.6521228,165241357.4088892,1022.6976411365296,1788.3751086872414,471.3241653484432,18.0
270,-239156893.01285398,169608615.49267024,1022.6976411717914,1788.375108687189,471.3241653486904,18.0
271,-243316025.86654913,173948149.44845107,1022.6976411966115,1788.3751086871303,471.32416534859146,18.0
272,-247323219.1046171,177965732.01146096,1022.6976411287784,1788.37510868726,471.32416534893514,18.0
273,-251100021.83469892,181772849.25658628,1022.6976412478501,1788.375108687136,471.32416534819413,18.0
274,-254565087.60129833,185298064.45473957,1022.6976411711393,1788.3751086872182,471.32416534787393,18.0
275,-257653218.25068462,188415328.85893485,1022.6976412132944,1788.3751086872012,471.32416534845044,18.0
276,-260317395.33455902,191135149.73261195,1022.6976411810197,1788.3751086870893,471.32416534799387,18.0
277,-262529058.81342003,193436983.16370732,1022.697641160644,1788.3751086871932,471.3241653484133,18.0
278,-264283566.18558425,195258226.96877837,1022.6976412302956,1788.3751086872176,471.3241653479777,18.0
279,-265585343.03740016,196700137.27273276,1022.6976411778917,1788.3751086871757,471.32416534789354,18.0
280,-266447493.27315006,197683566.32638913,1022.6976411883065,1788.3751086872649,471.32416534900096,18.0
281,-266881571.48529541,198285730.2714691,1022.6976411739058,1788.3751086872644,471.3241653488661,18.0
282,-266894190.20428425,198576520.44685903,1022.6976411739408,1788.3751086872471,471.3241653483427,18.0
283,-266501268.5792434,198239636.17982247,1022.6976412071513,1788.3751086872817,471.32416534856395,18.0
284,-265714553.87755248,197520371.3494998,1022.6976412037443,1788.3751086871835,471.32416534869424,18.0
