i,U,K,Px,Py,Pz,Ne
78,-80398530.22397162,42892100.80788173,-4244.551162620643,6859.407855929518,-3741.146796334045,38.0
79,-80146894.11584075,42696165.2362702,-4244.551162620612,6859.407855929534,-3741.14679633414,38.0
80,-79910176.68610935,42514468.7023741,-4244.551162620642,6859.407855929499,-3741.146796334137,38.0
81,-79687057.77998032,42315694.57135092,-4244.551162620596,6859.407855929482,-3741.1467963341734,38.0
82,-79479788.70445095,42119031.75921408,-4244.55116262062,6859.407855929605,-3741.1467963341074,38.0
83,-79286520.64888625,41947720.50081303,-4244.5511626207135,6859.407855929471,-3741.1467963341297,38.0
84,-79108272.84108385,41821271.93786752,-4244.551162620732,6859.407855929532,-3741.146796334078,38.0
85,-78943109.27992426,41663469.97132602,-4244.551162620619,6859.407855929568,-3741.146796334046,40.0
86,-78788331.37214154,41543516.403527044,-4244.551162620671,6859.40785592965,-3741.1467963340788,40.0
87,-78643620.0507876,41418559.33754514,-4244.551162620659,6859.407855929686,-3741.1467963341042,40.0
88,-78507703.82971098,41296101.8815862,-4244.551162620645,6859.407855929629,-3741.146796334149,40.0
89,-78379606.00886731,41188227.819531485,-4244.551162620678,6859.407855929689,-3741.146796334104,40.0
90,-78260003.89722717,41090799.82136234,-4244.551162620708,6859.407855929491,-3741.1467963341,40.0
91,-78146587.06285933,40990889.96064898,-4244.5511626207035,6859.407855929432,-3741.1467963340474,40.0
92,-78039925.88684738,40907174.94571189,-4244.55116262068,6859.407855929505,-3741.146796334102,40.0
93,-77940288.94000609,40872748.50227211,-4244.551162620662,6859.407855929649,-3741.1467963341074,41.0
94,-77844237.81849556,40772809.943097055,-4244.551162620627,6859.40785592967,-3741.146796334071,44.0
95,-77752413.11790274,40674696.478214175,-4244.5511626206935,6859.407855929382,-3741.1467963341115,46.0
96,-77665081.23791024,40605558.19602516,-4244.551162620667,6859.40785592949,-3741.1467963341793,46.0
97,-77582199.27150388,40545414.94654325,-4244.55116262069,6859.407855929654,-3741.146796334139,46.0
